(before at t_1 p_1_1),(before at t_1 p_1_2),(before at t_1 p_1_3),(before at t_1 p_2_1),(before at t_1 p_2_2),(before at t_1 p_2_3),(before at t_1 p_3_1),(before at t_1 p_3_2),(before at t_1 p_3_3),(before at t_2 p_1_1),(before at t_2 p_1_2),(before at t_2 p_1_3),(before at t_2 p_2_1),(before at t_2 p_2_2),(before at t_2 p_2_3),(before at t_2 p_3_1),(before at t_2 p_3_2),(before at t_2 p_3_3),(before at t_3 p_1_1),(before at t_3 p_1_2),(before at t_3 p_1_3),(before at t_3 p_2_1),(before at t_3 p_2_2),(before at t_3 p_2_3),(before at t_3 p_3_1),(before at t_3 p_3_2),(before at t_3 p_3_3),(before at t_4 p_1_1),(before at t_4 p_1_2),(before at t_4 p_1_3),(before at t_4 p_2_1),(before at t_4 p_2_2),(before at t_4 p_2_3),(before at t_4 p_3_1),(before at t_4 p_3_2),(before at t_4 p_3_3),(before at t_5 p_1_1),(before at t_5 p_1_2),(before at t_5 p_1_3),(before at t_5 p_2_1),(before at t_5 p_2_2),(before at t_5 p_2_3),(before at t_5 p_3_1),(before at t_5 p_3_2),(before at t_5 p_3_3),(before at t_6 p_1_1),(before at t_6 p_1_2),(before at t_6 p_1_3),(before at t_6 p_2_1),(before at t_6 p_2_2),(before at t_6 p_2_3),(before at t_6 p_3_1),(before at t_6 p_3_2),(before at t_6 p_3_3),(before at t_7 p_1_1),(before at t_7 p_1_2),(before at t_7 p_1_3),(before at t_7 p_2_1),(before at t_7 p_2_2),(before at t_7 p_2_3),(before at t_7 p_3_1),(before at t_7 p_3_2),(before at t_7 p_3_3),(before at t_8 p_1_1),(before at t_8 p_1_2),(before at t_8 p_1_3),(before at t_8 p_2_1),(before at t_8 p_2_2),(before at t_8 p_2_3),(before at t_8 p_3_1),(before at t_8 p_3_2),(before at t_8 p_3_3),(before empty p_1_1),(before empty p_1_2),(before empty p_1_3),(before empty p_2_1),(before empty p_2_2),(before empty p_2_3),(before empty p_3_1),(before empty p_3_2),(before empty p_3_3),(before neighbor p_1_1 p_1_2),(before neighbor p_1_1 p_1_3),(before neighbor p_1_1 p_2_1),(before neighbor p_1_1 p_2_2),(before neighbor p_1_1 p_2_3),(before neighbor p_1_1 p_3_1),(before neighbor p_1_1 p_3_2),(before neighbor p_1_1 p_3_3),(before neighbor p_1_2 p_1_1),(before neighbor p_1_2 p_1_3),(before neighbor p_1_2 p_2_1),(before neighbor p_1_2 p_2_2),(before neighbor p_1_2 p_2_3),(before neighbor p_1_2 p_3_1),(before neighbor p_1_2 p_3_2),(before neighbor p_1_2 p_3_3),(before neighbor p_1_3 p_1_1),(before neighbor p_1_3 p_1_2),(before neighbor p_1_3 p_2_1),(before neighbor p_1_3 p_2_2),(before neighbor p_1_3 p_2_3),(before neighbor p_1_3 p_3_1),(before neighbor p_1_3 p_3_2),(before neighbor p_1_3 p_3_3),(before neighbor p_2_1 p_1_1),(before neighbor p_2_1 p_1_2),(before neighbor p_2_1 p_1_3),(before neighbor p_2_1 p_2_2),(before neighbor p_2_1 p_2_3),(before neighbor p_2_1 p_3_1),(before neighbor p_2_1 p_3_2),(before neighbor p_2_1 p_3_3),(before neighbor p_2_2 p_1_1),(before neighbor p_2_2 p_1_2),(before neighbor p_2_2 p_1_3),(before neighbor p_2_2 p_2_1),(before neighbor p_2_2 p_2_3),(before neighbor p_2_2 p_3_1),(before neighbor p_2_2 p_3_2),(before neighbor p_2_2 p_3_3),(before neighbor p_2_3 p_1_1),(before neighbor p_2_3 p_1_2),(before neighbor p_2_3 p_1_3),(before neighbor p_2_3 p_2_1),(before neighbor p_2_3 p_2_2),(before neighbor p_2_3 p_3_1),(before neighbor p_2_3 p_3_2),(before neighbor p_2_3 p_3_3),(before neighbor p_3_1 p_1_1),(before neighbor p_3_1 p_1_2),(before neighbor p_3_1 p_1_3),(before neighbor p_3_1 p_2_1),(before neighbor p_3_1 p_2_2),(before neighbor p_3_1 p_2_3),(before neighbor p_3_1 p_3_2),(before neighbor p_3_1 p_3_3),(before neighbor p_3_2 p_1_1),(before neighbor p_3_2 p_1_2),(before neighbor p_3_2 p_1_3),(before neighbor p_3_2 p_2_1),(before neighbor p_3_2 p_2_2),(before neighbor p_3_2 p_2_3),(before neighbor p_3_2 p_3_1),(before neighbor p_3_2 p_3_3),(before neighbor p_3_3 p_1_1),(before neighbor p_3_3 p_1_2),(before neighbor p_3_3 p_1_3),(before neighbor p_3_3 p_2_1),(before neighbor p_3_3 p_2_2),(before neighbor p_3_3 p_2_3),(before neighbor p_3_3 p_3_1),(before neighbor p_3_3 p_3_2),(after at t_1 p_1_1),(after at t_1 p_1_2),(after at t_1 p_1_3),(after at t_1 p_2_1),(after at t_1 p_2_2),(after at t_1 p_2_3),(after at t_1 p_3_1),(after at t_1 p_3_2),(after at t_1 p_3_3),(after at t_2 p_1_1),(after at t_2 p_1_2),(after at t_2 p_1_3),(after at t_2 p_2_1),(after at t_2 p_2_2),(after at t_2 p_2_3),(after at t_2 p_3_1),(after at t_2 p_3_2),(after at t_2 p_3_3),(after at t_3 p_1_1),(after at t_3 p_1_2),(after at t_3 p_1_3),(after at t_3 p_2_1),(after at t_3 p_2_2),(after at t_3 p_2_3),(after at t_3 p_3_1),(after at t_3 p_3_2),(after at t_3 p_3_3),(after at t_4 p_1_1),(after at t_4 p_1_2),(after at t_4 p_1_3),(after at t_4 p_2_1),(after at t_4 p_2_2),(after at t_4 p_2_3),(after at t_4 p_3_1),(after at t_4 p_3_2),(after at t_4 p_3_3),(after at t_5 p_1_1),(after at t_5 p_1_2),(after at t_5 p_1_3),(after at t_5 p_2_1),(after at t_5 p_2_2),(after at t_5 p_2_3),(after at t_5 p_3_1),(after at t_5 p_3_2),(after at t_5 p_3_3),(after at t_6 p_1_1),(after at t_6 p_1_2),(after at t_6 p_1_3),(after at t_6 p_2_1),(after at t_6 p_2_2),(after at t_6 p_2_3),(after at t_6 p_3_1),(after at t_6 p_3_2),(after at t_6 p_3_3),(after at t_7 p_1_1),(after at t_7 p_1_2),(after at t_7 p_1_3),(after at t_7 p_2_1),(after at t_7 p_2_2),(after at t_7 p_2_3),(after at t_7 p_3_1),(after at t_7 p_3_2),(after at t_7 p_3_3),(after at t_8 p_1_1),(after at t_8 p_1_2),(after at t_8 p_1_3),(after at t_8 p_2_1),(after at t_8 p_2_2),(after at t_8 p_2_3),(after at t_8 p_3_1),(after at t_8 p_3_2),(after at t_8 p_3_3),(after empty p_1_1),(after empty p_1_2),(after empty p_1_3),(after empty p_2_1),(after empty p_2_2),(after empty p_2_3),(after empty p_3_1),(after empty p_3_2),(after empty p_3_3),(after neighbor p_1_1 p_1_2),(after neighbor p_1_1 p_1_3),(after neighbor p_1_1 p_2_1),(after neighbor p_1_1 p_2_2),(after neighbor p_1_1 p_2_3),(after neighbor p_1_1 p_3_1),(after neighbor p_1_1 p_3_2),(after neighbor p_1_1 p_3_3),(after neighbor p_1_2 p_1_1),(after neighbor p_1_2 p_1_3),(after neighbor p_1_2 p_2_1),(after neighbor p_1_2 p_2_2),(after neighbor p_1_2 p_2_3),(after neighbor p_1_2 p_3_1),(after neighbor p_1_2 p_3_2),(after neighbor p_1_2 p_3_3),(after neighbor p_1_3 p_1_1),(after neighbor p_1_3 p_1_2),(after neighbor p_1_3 p_2_1),(after neighbor p_1_3 p_2_2),(after neighbor p_1_3 p_2_3),(after neighbor p_1_3 p_3_1),(after neighbor p_1_3 p_3_2),(after neighbor p_1_3 p_3_3),(after neighbor p_2_1 p_1_1),(after neighbor p_2_1 p_1_2),(after neighbor p_2_1 p_1_3),(after neighbor p_2_1 p_2_2),(after neighbor p_2_1 p_2_3),(after neighbor p_2_1 p_3_1),(after neighbor p_2_1 p_3_2),(after neighbor p_2_1 p_3_3),(after neighbor p_2_2 p_1_1),(after neighbor p_2_2 p_1_2),(after neighbor p_2_2 p_1_3),(after neighbor p_2_2 p_2_1),(after neighbor p_2_2 p_2_3),(after neighbor p_2_2 p_3_1),(after neighbor p_2_2 p_3_2),(after neighbor p_2_2 p_3_3),(after neighbor p_2_3 p_1_1),(after neighbor p_2_3 p_1_2),(after neighbor p_2_3 p_1_3),(after neighbor p_2_3 p_2_1),(after neighbor p_2_3 p_2_2),(after neighbor p_2_3 p_3_1),(after neighbor p_2_3 p_3_2),(after neighbor p_2_3 p_3_3),(after neighbor p_3_1 p_1_1),(after neighbor p_3_1 p_1_2),(after neighbor p_3_1 p_1_3),(after neighbor p_3_1 p_2_1),(after neighbor p_3_1 p_2_2),(after neighbor p_3_1 p_2_3),(after neighbor p_3_1 p_3_2),(after neighbor p_3_1 p_3_3),(after neighbor p_3_2 p_1_1),(after neighbor p_3_2 p_1_2),(after neighbor p_3_2 p_1_3),(after neighbor p_3_2 p_2_1),(after neighbor p_3_2 p_2_2),(after neighbor p_3_2 p_2_3),(after neighbor p_3_2 p_3_1),(after neighbor p_3_2 p_3_3),(after neighbor p_3_3 p_1_1),(after neighbor p_3_3 p_1_2),(after neighbor p_3_3 p_1_3),(after neighbor p_3_3 p_2_1),(after neighbor p_3_3 p_2_2),(after neighbor p_3_3 p_2_3),(after neighbor p_3_3 p_3_1),(after neighbor p_3_3 p_3_2),Decision
False,True,True,False,True,True,False,True,True,False,True,False,True,False,True,False,False,True,True,True,True,True,False,True,False,False,True,False,False,False,True,True,True,False,True,True,True,False,False,False,True,False,False,True,True,True,True,False,True,True,True,True,True,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,True,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,True,True,False,False,False,False,True,False,True,False,True,True,True,True,False,True,False,False,True,False,False,True,True,True,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,False,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,False,True,False,True,True,True,True,False,True,True,True,(move t_3 p_2_1 p_1_1)
True,True,True,True,True,False,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,False,True,False,True,True,True,True,False,False,True,True,True,True,True,False,False,True,False,True,False,False,False,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,False,True,False,True,True,True,True,False,True,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,True,True,(move t_4 p_2_2 p_2_1)
False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,True,False,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True,True,True,False,False,True,True,False,True,False,False,True,True,True,False,True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,True,False,True,True,True,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,True,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,(move t_8 p_3_2 p_2_2)
False,True,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,True,True,False,True,True,True,True,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,True,False,False,True,True,False,True,True,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,False,True,True,True,False,True,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False,True,True,True,False,True,True,False,True,False,False,True,False,False,False,True,True,True,True,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,True,True,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,(move t_5 p_3_1 p_3_2)
True,True,True,True,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,True,False,True,True,True,False,True,True,False,True,False,False,True,False,False,False,True,True,True,True,False,True,True,False,True,False,False,True,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,False,False,True,True,False,True,True,False,False,True,True,True,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,(move t_4 p_2_1 p_3_1)
True,False,False,False,False,False,False,False,True,False,True,True,False,True,True,False,False,False,False,False,True,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,True,True,False,True,False,True,True,False,True,True,False,True,True,True,False,True,False,True,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,False,True,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False,True,False,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,True,True,True,(move t_3 p_1_1 p_2_1)
False,False,False,False,True,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,False,False,True,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,True,True,False,True,True,True,True,True,True,False,True,True,False,True,True,False,False,False,False,True,False,False,True,True,True,True,False,True,True,False,False,True,False,True,True,False,False,True,True,True,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,False,True,False,False,False,True,True,True,False,True,False,False,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,(move t_1 p_1_2 p_1_1)
False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,True,True,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,False,True,True,True,True,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,True,False,True,False,False,False,True,True,True,False,True,False,False,True,False,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,True,True,False,False,False,False,(move t_8 p_2_2 p_1_2)
True,False,True,True,True,False,True,True,False,False,False,True,True,True,False,False,False,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,True,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,True,True,True,False,True,False,True,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,False,True,False,False,True,True,(move t_5 p_3_2 p_2_2)
False,False,False,True,False,True,False,False,True,True,True,True,True,False,False,True,False,False,True,True,True,True,True,False,True,True,True,False,True,True,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,False,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,True,True,True,False,True,False,True,True,False,False,True,True,True,False,True,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,True,False,False,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,False,False,True,False,True,True,False,True,True,True,True,True,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,True,True,False,False,False,False,False,False,False,True,True,False,True,True,False,False,False,False,True,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,False,True,True,False,True,False,True,True,False,True,False,True,True,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,True,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,False,True,False,False,False,False,False,False,True,(move t_7 p_3_3 p_3_2)
