(before at-curb car_0),(before at-curb car_1),(before at-curb car_2),(before at-curb car_3),(before at-curb car_4),(before at-curb-num car_0 curb_0),(before at-curb-num car_0 curb_1),(before at-curb-num car_0 curb_2),(before at-curb-num car_0 curb_3),(before at-curb-num car_1 curb_0),(before at-curb-num car_1 curb_1),(before at-curb-num car_1 curb_2),(before at-curb-num car_1 curb_3),(before at-curb-num car_2 curb_0),(before at-curb-num car_2 curb_1),(before at-curb-num car_2 curb_2),(before at-curb-num car_2 curb_3),(before at-curb-num car_3 curb_0),(before at-curb-num car_3 curb_1),(before at-curb-num car_3 curb_2),(before at-curb-num car_3 curb_3),(before at-curb-num car_4 curb_0),(before at-curb-num car_4 curb_1),(before at-curb-num car_4 curb_2),(before at-curb-num car_4 curb_3),(before behind-car car_0 car_0),(before behind-car car_0 car_1),(before behind-car car_0 car_2),(before behind-car car_0 car_3),(before behind-car car_0 car_4),(before behind-car car_1 car_0),(before behind-car car_1 car_1),(before behind-car car_1 car_2),(before behind-car car_1 car_3),(before behind-car car_1 car_4),(before behind-car car_2 car_0),(before behind-car car_2 car_1),(before behind-car car_2 car_2),(before behind-car car_2 car_3),(before behind-car car_2 car_4),(before behind-car car_3 car_0),(before behind-car car_3 car_1),(before behind-car car_3 car_2),(before behind-car car_3 car_3),(before behind-car car_3 car_4),(before behind-car car_4 car_0),(before behind-car car_4 car_1),(before behind-car car_4 car_2),(before behind-car car_4 car_3),(before behind-car car_4 car_4),(before car-clear car_0),(before car-clear car_1),(before car-clear car_2),(before car-clear car_3),(before car-clear car_4),(before curb-clear curb_0),(before curb-clear curb_1),(before curb-clear curb_2),(before curb-clear curb_3),action,(after at-curb car_0),(after at-curb car_1),(after at-curb car_2),(after at-curb car_3),(after at-curb car_4),(after at-curb-num car_0 curb_0),(after at-curb-num car_0 curb_1),(after at-curb-num car_0 curb_2),(after at-curb-num car_0 curb_3),(after at-curb-num car_1 curb_0),(after at-curb-num car_1 curb_1),(after at-curb-num car_1 curb_2),(after at-curb-num car_1 curb_3),(after at-curb-num car_2 curb_0),(after at-curb-num car_2 curb_1),(after at-curb-num car_2 curb_2),(after at-curb-num car_2 curb_3),(after at-curb-num car_3 curb_0),(after at-curb-num car_3 curb_1),(after at-curb-num car_3 curb_2),(after at-curb-num car_3 curb_3),(after at-curb-num car_4 curb_0),(after at-curb-num car_4 curb_1),(after at-curb-num car_4 curb_2),(after at-curb-num car_4 curb_3),(after behind-car car_0 car_0),(after behind-car car_0 car_1),(after behind-car car_0 car_2),(after behind-car car_0 car_3),(after behind-car car_0 car_4),(after behind-car car_1 car_0),(after behind-car car_1 car_1),(after behind-car car_1 car_2),(after behind-car car_1 car_3),(after behind-car car_1 car_4),(after behind-car car_2 car_0),(after behind-car car_2 car_1),(after behind-car car_2 car_2),(after behind-car car_2 car_3),(after behind-car car_2 car_4),(after behind-car car_3 car_0),(after behind-car car_3 car_1),(after behind-car car_3 car_2),(after behind-car car_3 car_3),(after behind-car car_3 car_4),(after behind-car car_4 car_0),(after behind-car car_4 car_1),(after behind-car car_4 car_2),(after behind-car car_4 car_3),(after behind-car car_4 car_4),(after car-clear car_0),(after car-clear car_1),(after car-clear car_2),(after car-clear car_3),(after car-clear car_4),(after curb-clear curb_0),(after curb-clear curb_1),(after curb-clear curb_2),(after curb-clear curb_3)
false,true,true,true,true,false,false,false,true,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,true,false,true,true,true,false,true,false,false,false,false,(move-car-to-curb car_4 car_3 curb_4),true,true,true,false,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false
true,true,true,false,true,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,(move-curb-to-car car_0 curb_3 car_4),false,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false,true
false,true,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,true,true,true,false,false,true,false,true,(move-curb-to-curb car_3 curb_0 curb_3),true,true,true,true,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,false,true,true,true,true,true,true,false,true,false,false,false
true,true,true,true,true,false,false,false,false,false,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,true,false,false,true,false,false,false,false,false,true,true,true,true,true,true,false,true,false,false,false,(move-curb-to-car car_1 curb_2 car_3),false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false
false,false,true,true,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,true,false,true,false,false,false,false,false,true,false,true,false,false,true,false,false,false,(move-car-to-curb car_0 car_4 curb_0),true,false,true,true,true,true,false,true,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,true,false
true,false,true,true,true,true,false,true,false,false,true,false,false,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false,false,true,false,(move-curb-to-curb car_2 curb_1 curb_2),true,false,true,true,true,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false,false
true,false,true,true,true,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,true,false,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false,false,(move-car-to-curb car_1 car_3 curb_1),true,true,true,false,false,true,false,false,false,true,true,true,false,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,false
true,true,true, , ,true,false,true, ,false,true,false, ,false,false,false, , , , , , , , , ,false,false,true, , ,false,false,false, , ,true,false,false, , , , , , , , , , , , ,false,true,true, , ,false,false,true, ,(move-car-to-curb car_2 car_0 curb_2),true,true,true, , ,true,false,false, ,false,true,false, ,false,false,true, , , , , , , , , ,true,false,false, , ,false,false,true, , ,false,false,false, , , , , , , , , , , , ,true,false,true, , ,false,false,false, 
false,true,true, , ,false,false,false,false,false,true,false,false,true,false,false,false, , , , , , , , ,false,false,false, , ,false,false,true, , ,false,true,false, , , , , , , , , , , , ,true,true,true, , ,false,false,true,true,(move-car-to-car car_0 car_2 car_1),false,true,true, , ,false,false,false,false,true,false,false,false,true,true,false,false, , , , , , , , ,false,false,false, , ,false,true,false, , ,false,false,false, , , , , , , , , , , , ,true,false,true, , ,false,false,true,false
false,true,true, , ,false,false,false,false,true,false,false,false,true,true,false,false, , , , , , , , ,false,false,false, , ,false,true,false, , ,false,false,false, , , , , , , , , , , , ,true,false,true, , ,false,false,true,false,(move-curb-to-curb car_2 curb_0 curb_2),true,true,true, , ,true,false,false,false,true,true,false,false,false,false,true,false, , , , , , , , ,false,true,false, , ,false,false,false, , ,false,false,false, , , , , , , , , , , , ,true,false,true, , ,true,false,false,true
