(before clear d1),(before clear d2),(before clear d3),(before clear d4),(before clear peg1),(before clear peg2),(before clear peg3),(before on d1 d2),(before on d1 d3),(before on d1 d4),(before on d1 peg1),(before on d1 peg2),(before on d1 peg3),(before on d2 d1),(before on d2 d3),(before on d2 d4),(before on d2 peg1),(before on d2 peg2),(before on d2 peg3),(before on d3 d1),(before on d3 d2),(before on d3 d4),(before on d3 peg1),(before on d3 peg2),(before on d3 peg3),(before on d4 d1),(before on d4 d2),(before on d4 d3),(before on d4 peg1),(before on d4 peg2),(before on d4 peg3),(before smaller d1 d2),(before smaller d1 d3),(before smaller d1 d4),(before smaller d2 d1),(before smaller d2 d3),(before smaller d2 d4),(before smaller d3 d1),(before smaller d3 d2),(before smaller d3 d4),(before smaller d4 d1),(before smaller d4 d2),(before smaller d4 d3),(before smaller peg1 d1),(before smaller peg1 d2),(before smaller peg1 d3),(before smaller peg1 d4),(before smaller peg2 d1),(before smaller peg2 d2),(before smaller peg2 d3),(before smaller peg2 d4),(before smaller peg3 d1),(before smaller peg3 d2),(before smaller peg3 d3),(before smaller peg3 d4),(after clear d1),(after clear d2),(after clear d3),(after clear d4),(after clear peg1),(after clear peg2),(after clear peg3),(after on d1 d2),(after on d1 d3),(after on d1 d4),(after on d1 peg1),(after on d1 peg2),(after on d1 peg3),(after on d2 d1),(after on d2 d3),(after on d2 d4),(after on d2 peg1),(after on d2 peg2),(after on d2 peg3),(after on d3 d1),(after on d3 d2),(after on d3 d4),(after on d3 peg1),(after on d3 peg2),(after on d3 peg3),(after on d4 d1),(after on d4 d2),(after on d4 d3),(after on d4 peg1),(after on d4 peg2),(after on d4 peg3),(after smaller d1 d2),(after smaller d1 d3),(after smaller d1 d4),(after smaller d2 d1),(after smaller d2 d3),(after smaller d2 d4),(after smaller d3 d1),(after smaller d3 d2),(after smaller d3 d4),(after smaller d4 d1),(after smaller d4 d2),(after smaller d4 d3),(after smaller peg1 d1),(after smaller peg1 d2),(after smaller peg1 d3),(after smaller peg1 d4),(after smaller peg2 d1),(after smaller peg2 d2),(after smaller peg2 d3),(after smaller peg2 d4),(after smaller peg3 d1),(after smaller peg3 d2),(after smaller peg3 d3),(after smaller peg3 d4),Decision
True,False,True,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False,True,False,(move d1 d2 peg2)
True,True,False,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,False,False,True,True,False,True,True,False,False,False,True,True,False,True,True,True,True,(move d2 d3 peg3)
False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,True,True,False,False,True,False,False,True,True,False,True,True,False,False,False,True,True,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,True,False,True,True,False,True,True,False,False,False,True,(move d1 peg2 d2)
False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,True,False,True,True,False,True,True,False,False,False,True,True,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,(move d3 d4 peg2)
True,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,(move d1 d2 d4)
True,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,True,True,True,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True,True,False,True,True,True,False,False,True,False,True,(move d2 peg3 d3)
True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,False,True,True,False,True,True,True,False,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,True,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,True,True,False,True,(move d1 d4 d2)
True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,True,False,False,False,True,True,False,True,True,True,True,True,False,False,True,False,False,True,False,True,False,True,False,True,True,True,True,True,True,False,True,False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,True,False,False,True,True,(move d4 peg1 peg3)
False,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,True,True,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,True,False,False,True,True,False,True,False,True,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,(move d1 d2 d4)
False,True,False,True,False,False,False,True,True,False,False,True,True,True,True,True,False,True,True,False,True,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False,False,(move d2 d3 peg1)
